Data,IPCA,PIB nominal
1999.06,"0,19","91746,9000"
1999.07,"1,09","91230,4000"
1999.08,"0,56","92283,4000"
1999.09,"0,31","90611,8000"
1999.10,"1,19","95872,4000"
1999.11,"0,95","99563,1000"
1999.12,"0,60","98772,5000"
2000.01,"0,62","92576,6000"
2000.02,"0,13","91770,4000"
2000.03,"0,22","92579,9000"
2000.04,"0,42","91376,2000"
2000.05,"0,01","98727,0000"
2000.06,"0,23","102685,4000"
2000.07,"1,61","103410,4000"
2000.08,"1,31","105177,8000"
2000.09,"0,23","100307,6000"
2000.10,"0,14","106951,1000"
2000.11,"0,32","107678,0000"
2000.12,"0,59","105851,6000"
2001.01,"0,57","102530,7000"
2001.02,"0,46","101635,3000"
2001.03,"0,38","108303,8000"
2001.04,"0,58","107572,0000"
2001.05,"0,41","111202,2000"
2001.06,"0,52","104949,4000"
2001.07,"1,33","110758,9000"
2001.08,"0,70","113064,7000"
2001.09,"0,28","108700,8000"
2001.10,"0,83","116139,0000"
2001.11,"0,71","117882,0000"
2001.12,"0,65","113016,7000"
2002.01,"0,52","112374,8000"
2002.02,"0,36","111477,1000"
2002.03,"0,60","118444,7000"
2002.04,"0,80","120385,9000"
2002.05,"0,21","123552,5000"
2002.06,"0,42","123424,4000"
2002.07,"1,19","126856,6000"
2002.08,"0,65","127800,1000"
2002.09,"0,72","125137,8000"
2002.10,"1,31","133125,4000"
2002.11,"3,02","135966,6000"
2002.12,"2,10","130241,2000"
2003.01,"2,25","127177,5000"
2003.02,"1,57","131373,6000"
2003.03,"1,23","138690,5000"
2003.04,"0,97","141388,1000"
2003.05,"0,61","139605,8000"
2003.06,"-0,15","137993,4000"
2003.07,"0,20","145970,6000"
2003.08,"0,34","144819,4000"
2003.09,"0,78","148559,8000"
2003.10,"0,29","154925,9000"
2003.11,"0,34","153644,4000"
2003.12,"0,52","153801,4000"
2004.01,"0,76","144558,6000"
2004.02,"0,61","142861,3000"
2004.03,"0,47","157363,5000"
